iso 3 code,country,world region
ABW,Aruba,Central America (incl. Mexico and Carribean)
AFG,Afghanistan,South Asia
AGO,Angola,Sub-Saharan Africa
ALB,Albania,Eastern Europe
ARE,United Arab Emirates,Western Asia
ARG,Argentina,South America
ARM,Armenia,Western Asia
AUS,Australia,Oceania
AUT,Austria,Western Europe
AZE,Azerbaijan,Western Asia
BDI,Burundi,Sub-Saharan Africa
BEL,Belgium,Western Europe
BEN,Benin,Sub-Saharan Africa
BFA,Burkina Faso,Sub-Saharan Africa
BGD,Bangladesh,South Asia
BGR,Bulgaria,Eastern Europe
BHR,Bahrain,Western Asia
BHS,Bahamas,Central America (incl. Mexico and Carribean)
BIH,Bosnia and Herzegovina,Eastern Europe
BLR,Belarus,Eastern Europe
BLZ,Belize,Central America (incl. Mexico and Carribean)
BOL,Bolivia,South America
BRA,Brazil,South America
BRB,Barbados,Central America (incl. Mexico and Carribean)
BRN,Brunei,South-East Asia
BTN,Bhutan,South Asia
BWA,Botswana,Sub-Saharan Africa
CAF,Central African Republic,Sub-Saharan Africa
CAN,Canada,North America
CHE,Switzerland,Western Europe
CHI,Channel Islands,Northern Europe
CHL,Chile,South America
CHN,China,Central Asia (incl. Russia)
CIV,Ivory Coast,Sub-Saharan Africa
CMR,Cameroon,Sub-Saharan Africa
COD,Democratic Republic of the Congo,Sub-Saharan Africa
COG,Republic of Congo,Sub-Saharan Africa
COL,Colombia,South America
COM,Comoros,Sub-Saharan Africa
CPV,Cape Verde,Sub-Saharan Africa
CRI,Costa Rica,Central America (incl. Mexico and Carribean)
CUB,Cuba,Central America (incl. Mexico and Carribean)
CYP,Cyprus,Western Asia
CZE,Czech Republic,Eastern Europe
DEU,Germany,Western Europe
DJI,Djibouti,Sub-Saharan Africa
DNK,Denmark,Northern Europe
DOM,Dominican Republic,Central America (incl. Mexico and Carribean)
DZA,Algeria,Northern Africa (excl. Sudan)
ECU,Ecuador,South America
EGY,Egypt,Northern Africa (excl. Sudan)
ERI,Eritrea,Sub-Saharan Africa
ESH,Western Sahara,Northern Africa (excl. Sudan)
ESP,Spain,Southern Europe
EST,Estonia,Northern Europe
ETH,Ethiopia,Sub-Saharan Africa
FIN,Finland,Northern Europe
FJI,Fiji,Oceania
FRA,France,Western Europe
FSM,Micronesia,Oceania
GAB,Gabon,Sub-Saharan Africa
GBR,United Kingdom,Northern Europe
GEO,Georgia,Western Asia
GHA,Ghana,Sub-Saharan Africa
GIN,Guinea,Sub-Saharan Africa
GLP,Guadeloupe,Central America (incl. Mexico and Carribean)
GMB,Gambia,Sub-Saharan Africa
GNB,Guinea-Bissau,Sub-Saharan Africa
GNQ,Equatorial Guinea,Sub-Saharan Africa
GRC,Greece,Southern Europe
