Country,Year,N,ss,sl,ll,s,l
Argentina,2007,172,45,77,50,167,177
Argentina,2008,1329,365,651,313,1381,1277
Austria,2001,26,4,9,3,17,15
Austria,2002,45,4,10,10,18,30
Austria,2004,76,16,38,22,70,82
Austria,2007,827,137,395,295,669,985
Austria,2007,1938,343,922,673,1608,2268
Australia,1998,759,155,350,254,660,858
Australia,2000,660,111,332,217,554,766
Australia,2007,752,150,363,239,663,841
Australia,2005,1206,262,577,367,1101,1311
Australia,2006,127,27,62,38,116,138
Australia,2007,2094,435,971,688,1841,2347
Australia,2007,16,3,5,8,11,21
Australia,2008,1234,148,820,266,1116,1352
Brazil,1998,98,16,43,39,75,121
Brazil,1998,244,38,101,105,177,311
Brazil,2000,197,32,87,78,151,243
Brazil,2004,201,24,103,74,151,251
Brazil,2005,70,14,30,26,58,82
Brazil,2006,31,6,14,11,26,36
Brazil,2006,218,39,120,59,198,238
Brazil,2006,152,39,57,56,135,169
Brazil,2007,54,12,22,20,46,62
Brazil,2008,102,52,54,26,158,106
Brazil,2008,236,41,128,67,210,262
Brazil,2008,1114,251,564,299,1066,1162
Brazil,2008,21,2,8,11,12,30
Brazil,2008,184,30,74,80,134,234
Canada,1997,82,10,54,18,74,90
Canada,2000,125,19,55,51,93,157
Canada,2003,159,36,83,40,155,163
Canada,2003,146,30,65,51,125,167
Canada,2006,269,49,129,91,227,311
Canada,2007,43,12,21,10,45,41
Canada,2008,99,33,48,18,114,84
Canada,2008,25,3,13,9,19,31
Canada,2009,93,17,54,22,88,98
Canada,2010,48,17,7,24,41,55
Canada,2010,75,15,33,24,63,81
Canada,2010,73,20,28,25,68,78
China,2002,194,113,62,19,288,100
China,2004,618,307,261,50,875,361
China,2005,90,44,40,6,128,52
China,2005,150,78,54,18,210,90
China,2007,156,76,72,8,224,88
China,2007,96,55,34,7,144,48
China,2008,180,36,87,57,159,201
China,2009,279,133,117,29,383,175
China,2009,437,41,182,214,264,610
China,2008,338,173,131,34,477,199
China,2009,150,59,65,26,183,117
China,2009,101,47,45,9,139,63
China,2009,200,106,74,20,286,114
China,2009,433,212,180,41,604,262
China,2010,572,298,222,52,818,326
Colombia,2000,112,29,61,22,119,105
Colombia,2006,96,45,25,14,115,53
Croatia,1997,32,10,15,7,35,29
Croatia,2003,298,46,147,105,239,357
Croatia,2006,120,18,60,42,96,144
Croatia,2008,282,28,127,127,183,381
Croatia,2008,665,95,316,254,506,824
Croatia,2009,520,67,238,215,372,668
Croatia,2010,170,17,93,60,127,213
Czech Republic,2008,100,48,39,13,135,65
Czech Republic,2009,65,13,30,22,56,74
Denmark,2001,108,18,53,37,89,127
Denmark,2008,1302,227,604,471,1058,1546
Denmark,2010,53,12,22,19,46,60
Denmark,2010,206,40,85,81,165,247
Estonia,2005,215,34,101,80,169,261
Estonia,2007,345,55,189,191,299,571
Estonia,2008,110,13,51,46,77,143
Finland,1998,215,41,106,68,188,242
Finland,1999,54,8,20,26,36,72
Finland,2008,28,6,6,16,18,38
Finland,2009,3872,661,1859,1352,3181,4563
Finland,2010,375,66,180,129,312,438
France,1998,99,12,58,29,82,116
France,1999,38,4,14,20,22,54
France,2000,184,27,97,60,151,217
France,2000,61,11,26,24,48,74
France,2002,457/0,101,238,118,440,474
France,2003,95,17,49,29,83,107
France,2004,171,26,89,56,141,201
France,2004,12,3,6,3,12,12
France,2009,553,123,274,156,520,586
France,2010,1421,405,674,342,1484,1358
France,2010,218,55,97,66,207,229
Germany,1996,505,96,248,161,440,570
Germany,1997,90,16,42,32,74,106
Germany,1997,385,70,199,116,339,431
Germany,1997,112,14,55,43,83,141
Germany,1997,216,35,100,81,170,262
Germany,1998,281,48,138,95,234,328
Germany,1998,233,54,104,75,212,254
Germany,1999,397,55,214,128,324,470
Germany,1999,110,18,55,37,91,129
Germany,2000,199,30,102,67,162,236
Germany,2000,72,14,38,20,66,78
Germany,2000,223,36,101,86,173,273
Germany,2000,118,18,60,40,96,140
Germany,2001,185,25,92,68,142,228
Germany,2001,163,40,83,40,163,163
Germany,2003,185,77,32,76,186,184
Germany,2004,40,10,17,13,37,43
Germany,2004,228,41,102,85,184,272
Germany,2004,281,40,140,101,220,342
Germany,2005,38,5,16,17,26,50
Germany,2005,976,158,459,359,775,1177
Germany,2005,827,127,406,294,660,994
Germany,2006,66,6,29,31,41,91
Germany,2006,91,12,50,29,74,108
Germany,2006,195,69,90,36,228,162
Germany,2007,305,44,157,104,245,365
Germany,2007,410,71,196,143,338,482
Germany,2007,48,11,22,15,44,52
Germany,2007,85,10,40,35,60,110
Germany,2008,60,9,27,24,45,75
Germany,2008,7,1,5,5,7,15
Germany,2008,28,7,13,8,27,29
Germany,2008,77,43,24,10,110,44
Germany,2008,29,15,0,14,30,28
Germany,2008,70,9,35,26,53,87
Germany,2009,98,26,46,26,98,98
Germany,2009,62,9,34,19,52,72
Germany,2009,21,4,10,7,18,24
Germany,2009,1596,264,766,566,1294,1898
Germany,2009,58,11,26,21,48,68
Germany,2009,298,43,153,102,239,357
Germany,2009,200,21,83,96,125,275
Germany,2009,315,108,155,52,371,259
